address,amount
0x83e94834f661cbB765dC067C98d20dfbFc6Aac21,20000000
0xc8dbb1F884b4f302088296BE403832276795468B,20000000
0x0B90F9709988F0b939703c31ecA4FaEf34bED461,20000000
0x1cC0Be9EA98E220730e85EFa1572C4c828bb0A3A,20000000
0x82Ca4D0929B51A416e8f593E232f35739A110fA7,20000000
0xc94102d749E23a77c07159CceA660353C1131890,20000000
0x91f74ea7778E39E5E7dDf21929863966e61D9039,20000000
0x133CD860f58fF3D2F6a8D7C27F2b9d40016fC6FA,20000000
0x2D0CfF8ce17101B85f98452A504fc91D2AA8f888,20000000
0xBD10677cccFA24cbDfbE500572cf6DA890863219,20000000
0x9f645B4bb3941f6a6FDbaa51B9c20798B85531E4,20000000
0xA4687CEa9B2B0D8F593ad405c2B86c23e241dC96,20000000
0x39e64e84198c5840d656149695019dA15641bEc2,20000000
0x2ecd8Ab5FBA91e9F77F2a1012b3bBB6Aa80a351A,20000000
0x108608F3f993bfd55Fab50D9EF1a5C7E2C47f29B,20000000
0x19B896445975F97059afaA1BbA86D7cAED8b7BC9,20000000
0x91F4FD5c834A023D8682FFE3105c93987027b175,20000000
0xEc82b0edb7078c5Bd4327655bA493FF564010659,20000000
0x2E44F135B4d16791866DcBF3631E953e1Dd201DF,20000000
0xACBf90a3F03A34faA8235854Ca6c3Ee0cC8c7546,20000000
0x05850e752BBa42ED5B070be4ed476d2c5461a319,20000000
0x825Dd7750Cd173B1e534af4B1bac36ecBA0e8bc1,20000000
0x432f92891E558A3842B7B76950D27bCEe2d956e5,20000000
0x3F59Ca9F94A7f5c40a3E679EcbF536c6178B18f6,20000000
0x0192A472B414E648EF57c4fc0b5d3ac8A9C0130f,20000000
0x3CA451fE2ce0B708d1335855DF49CEB1E079750c,20000000
0xBd84a5b30e7c6130b37D6585c53D9917FD38E525,20000000
0x3034F1F6FFb3ebda288D1aB9003ED96701C4a726,20000000
0x878CC032C931Eb78559Ba08140BC337423670C77,20000000
0x2b38E292a2666b320E3701F82Fd68B27D2d1E76A,20000000
0x13804E2c12E9c509d52cf9c6f22dEb467c64da60,20000000
0xCED2a14F32EC7ad3D0c14E72A7b2b0E7E8c4eab6,20000000
0xa022d26c91Ef79a7C7e703d0378A0c74a23a7a89,20000000
0x223720d7ee41393bfaa6292Fcb2711916D855ED2,20000000
0xAebD5f9B6C0D34e7eaE0023383D6a2ceF7b772d7,20000000
0x25484005832f53c667BEfd0224a388bbf6010D3F,20000000
0x0CDABEAFc0E7BAC9d593751d330Ec009DA170998,20000000
0xE05E38eC697ac6D3b218011A9341B5F6b107511A,20000000
0x9c9e10061783124f404B97BC2B5f493796555B1a,20000000
0xc6c8bc7810AAfb5Fe86D161bdE4d96302857488b,20000000
0xA223CD15B7A68EDB1eE14498Eb2262beDDd1Ba91,20000000
0xcdAe7a8feF28E444e1b25079fe46CbbA7F0e92B4,20000000
0x527098cbE5b88de3F9E590F1810037Db59B1C83E,20000000
0x11c03D069a938Fa13b7F44CE28f9B985B0ed1D98,20000000
0xE8A7aD5c35d723D7a9099f9aaaA75b890B11b852,20000000
0x396101C41eed84229A7dE34e7e2e595fA76f41FA,20000000
0x050E9A27A64A073AFDa17C4fF6F4900360c5BCBC,20000000
0x67937BbCB9AC1478B0eF954f6C90a31421f266A0,20000000
0x63a410597aBd81D81297424E1e1D197e058b5a8e,20000000
0xaEDb11240753485D8408bb74DE72BD67938fed27,20000000
0x61082317d683ca085bA841626871010Cb5657fdb,20000000
0xCb71B36F35922455dA6Ae08BacE067bDb5A3E548,20000000
0xAAf1C60d188796cdC2639DC088ff08dd8Dbe7C95,20000000
0xef6058Fb339e1EB0847403408f94252eC956eeF9,20000000
0x07B9FCF0306B1D4f90EFfB523c127Ac90EB7a494,20000000
0xc2c0D68b5C474a56C148B11819C4c452F52eeDa9,20000000
0x0Abc7B375A64EC24752D1A5333b40aF151D0B175,20000000
0x1F564570bE654916867683F7ED518C3720659969,20000000
